geoname,cvap_est
"Pottawattamie, Iowa",69865
"Poweshiek, Iowa",14475
"Ringgold, Iowa",3535
"Sac, Iowa",7435
"Scott, Iowa",130235
"Shelby, Iowa",9025
"Sioux, Iowa",25090
"Story, Iowa",77110
"Tama, Iowa",12400
"Taylor, Iowa",4375
"Union, Iowa",9140
"Van Buren, Iowa",5530
"Wapello, Iowa",25400
"Warren, Iowa",39515
"Washington, Iowa",16575
"Wayne, Iowa",4765
"Webster, Iowa",28585
"Winnebago, Iowa",8290
"Winneshiek, Iowa",16085
"Woodbury, Iowa",73210
"Worth, Iowa",5860
"Wright, Iowa",9285
"Allen, Kansas",9550
"Anderson, Kansas",5855
"Atchison, Kansas",12605
"Barber, Kansas",3060
"Barton, Kansas",18760
"Bourbon, Kansas",10570
"Brown, Kansas",7015
"Butler, Kansas",49620
"Chase, Kansas",1950
"Chautauqua, Kansas",2595
"Cherokee, Kansas",14845
"Cheyenne, Kansas",1960
"Clark, Kansas",1470
"Clay, Kansas",6160
"Cloud, Kansas",6695
"Coffey, Kansas",6490
"Comanche, Kansas",1410
"Cowley, Kansas",25895
"Crawford, Kansas",30085
"Decatur, Kansas",2185
"Dickinson, Kansas",14210
"Doniphan, Kansas",5970
"Douglas, Kansas",93465
"Edwards, Kansas",2025
"Elk, Kansas",1890
"Ellis, Kansas",22475
"Ellsworth, Kansas",5170
"Finney, Kansas",22285
"Ford, Kansas",19190
"Franklin, Kansas",19570
"Geary, Kansas",23980
"Gove, Kansas",2025
"Graham, Kansas",1930
"Grant, Kansas",4065
"Gray, Kansas",3545
"Greeley, Kansas",865
"Greenwood, Kansas",4690
"Hamilton, Kansas",1390
"Harper, Kansas",3985
"Harvey, Kansas",25355
"Haskell, Kansas",2195
"Hodgeman, Kansas",1315
"Jackson, Kansas",9795
"Jefferson, Kansas",14170
"Jewell, Kansas",2315
"Johnson, Kansas",442140
"Kearny, Kansas",2480
"Kingman, Kansas",5760
"Kiowa, Kansas",1815
"Labette, Kansas",15165
"Lane, Kansas",1175
"Leavenworth, Kansas",61390
"Lincoln, Kansas",2265
"Linn, Kansas",7525
"Logan, Kansas",2020
"Lyon, Kansas",23040
"McPherson, Kansas",23080
"Marion, Kansas",9295
"Marshall, Kansas",7530
"Meade, Kansas",2715
"Miami, Kansas",26025
"Mitchell, Kansas",4475
"Montgomery, Kansas",23580
"Morris, Kansas",4185
"Morton, Kansas",1800
"Nemaha, Kansas",7410
"Neosho, Kansas",11780
"Ness, Kansas",2020
"Norton, Kansas",4325
"Osage, Kansas",12025
"Osborne, Kansas",2730
"Ottawa, Kansas",4410
"Pawnee, Kansas",5380
"Phillips, Kansas",3825
"Pottawatomie, Kansas",17860
"Pratt, Kansas",6835
"Rawlins, Kansas",1930
"Reno, Kansas",47245
"Republic, Kansas",3585
"Rice, Kansas",7095
"Riley, Kansas",57655
"Rooks, Kansas",3880
"Rush, Kansas",2320
"Russell, Kansas",5180
"Saline, Kansas",40710
"Scott, Kansas",3420
"Sedgwick, Kansas",369210
"Seward, Kansas",11535
"Shawnee, Kansas",132925
"Sheridan, Kansas",1775
"Sherman, Kansas",4455
"Smith, Kansas",2860
"Stafford, Kansas",2945
"Stanton, Kansas",1355
